iter	Passed	Remaining
872	3368	490
873	3372	486
874	3375	482
875	3379	478
876	3383	474
877	3387	470
878	3391	466
879	3394	462
880	3398	459
881	3402	455
882	3406	451
883	3409	447
884	3413	443
885	3417	439
886	3420	435
887	3424	431
888	3428	428
889	3432	424
890	3435	420
891	3438	416
892	3442	412
893	3446	408
894	3450	404
895	3454	400
896	3458	397
897	3461	393
898	3465	389
899	3469	385
900	3473	381
901	3477	377
902	3480	373
903	3484	370
904	3488	366
905	3491	362
906	3495	358
907	3499	354
908	3502	350
909	3506	346
910	3509	342
911	3513	339
912	3517	335
913	3521	331
914	3525	327
915	3528	323
916	3532	319
917	3536	315
918	3540	312
919	3544	308
920	3547	304
921	3551	300
922	3555	296
923	3558	292
924	3562	288
925	3566	285
926	3570	281
927	3574	277
928	3577	273
929	3581	269
930	3585	265
931	3589	261
932	3592	258
933	3596	254
934	3599	250
935	3603	246
936	3607	242
937	3611	238
938	3615	234
939	3618	230
940	3622	227
941	3626	223
942	3630	219
943	3633	215
944	3637	211
945	3640	207
946	3644	203
947	3648	200
948	3652	196
949	3656	192
950	3659	188
951	3663	184
952	3667	180
953	3671	177
954	3674	173
955	3678	169
956	3682	165
957	3686	161
958	3690	157
959	3693	153
960	3697	150
961	3701	146
962	3705	142
963	3709	138
964	3713	134
965	3717	130
966	3721	126
967	3724	123
968	3728	119
969	3732	115
970	3736	111
971	3739	107
972	3743	103
973	3747	100
974	3751	96
975	3754	92
976	3758	88
977	3762	84
978	3766	80
979	3770	76
980	3773	73
981	3777	69
982	3781	65
983	3785	61
984	3789	57
985	3793	53
986	3797	50
987	3800	46
988	3804	42
989	3808	38
990	3811	34
991	3815	30
992	3819	26
993	3823	23
994	3827	19
995	3831	15
996	3835	11
997	3838	7
998	3842	3
999	3846	0
